"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 13, 2020","4,005.35","3,916.50","4,007.43","3,916.50","-","2.27%"
"Nov 12, 2020","3,916.50","3,979.34","3,981.86","3,916.50","-","-1.58%"
"Nov 11, 2020","3,979.34","3,977.45","4,010.47","3,948.65","-","0.05%"
"Nov 10, 2020","3,977.45","3,928.48","3,978.10","3,887.19","-","1.25%"
"Nov 09, 2020","3,928.48","3,812.38","3,951.95","3,812.38","-","3.05%"
"Nov 06, 2020","3,812.38","3,703.94","3,812.79","3,686.68","-","2.93%"
"Nov 05, 2020","3,703.94","3,518.05","3,705.51","3,518.05","-","5.28%"
"Nov 04, 2020","3,518.05","3,521.45","3,554.87","3,489.65","-","-0.10%"
"Nov 03, 2020","3,521.45","3,571.13","3,601.44","3,506.29","-","-1.39%"
"Nov 02, 2020","3,571.13","3,539.92","3,606.53","3,539.92","-","0.88%"
"Oct 30, 2020","3,539.92","3,582.64","3,598.52","3,530.26","-","-1.19%"
"Oct 29, 2020","3,582.64","3,629.48","3,636.44","3,574.45","-","-1.29%"
"Oct 28, 2020","3,629.48","3,697.00","3,697.91","3,611.73","-","-1.83%"
"Oct 27, 2020","3,697.00","3,705.99","3,751.63","3,675.47","-","-0.24%"
"Oct 26, 2020","3,705.99","3,807.95","3,808.43","3,701.14","-","-2.68%"
"Oct 23, 2020","3,807.95","3,811.29","3,831.40","3,799.49","-","-0.09%"
"Oct 22, 2020","3,811.29","3,782.66","3,817.12","3,758.84","-","0.76%"
"Oct 21, 2020","3,782.66","3,672.92","3,782.95","3,670.15","-","2.99%"
"Oct 20, 2020","3,672.92","3,631.80","3,678.99","3,631.80","-","1.13%"
"Oct 19, 2020","3,631.80","3,640.58","3,677.22","3,631.38","-","-0.24%"
"Oct 16, 2020","3,640.58","3,661.72","3,674.64","3,628.76","-","-0.58%"
"Oct 15, 2020","3,661.72","3,664.40","3,690.63","3,619.65","-","-0.07%"
"Oct 14, 2020","3,664.40","3,654.69","3,666.27","3,640.43","-","0.27%"
"Oct 13, 2020","3,654.69","3,677.45","3,690.67","3,636.54","-","-0.62%"
"Oct 09, 2020","3,677.45","3,650.27","3,692.33","3,635.59","-","0.74%"
"Oct 08, 2020","3,650.27","3,588.35","3,650.35","3,588.35","-","1.73%"
"Oct 07, 2020","3,588.35","3,621.71","3,629.38","3,580.64","-","-0.92%"
