"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 30, 2020","19,823.33","19,987.51","19,999.26","19,684.59","-","-0.82%"
"Apr 29, 2020","19,987.51","19,455.09","20,018.72","19,455.09","-","2.74%"
"Apr 28, 2020","19,455.09","19,056.93","19,566.62","19,056.93","-","2.08%"
"Apr 27, 2020","19,059.57","18,483.21","19,071.49","18,483.21","-","3.12%"
"Apr 24, 2020","18,483.21","18,805.70","18,837.07","18,480.71","-","-1.71%"
"Apr 23, 2020","18,805.70","18,496.40","18,811.91","18,496.40","-","1.67%"
"Apr 22, 2020","18,496.40","18,381.03","18,649.63","18,381.03","-","0.63%"
"Apr 21, 2020","18,381.03","18,843.26","18,843.26","18,343.65","-","-2.45%"
"Apr 20, 2020","18,843.26","19,160.19","19,175.67","18,834.71","-","-1.65%"
"Apr 17, 2020","19,160.19","19,058.12","19,480.02","19,058.12","-","0.54%"
"Apr 16, 2020","19,058.12","19,296.08","19,357.25","18,990.79","-","-1.23%"
"Apr 15, 2020","19,296.08","19,590.56","19,594.39","19,240.39","-","-1.50%"
"Apr 14, 2020","19,590.56","19,293.05","19,638.21","19,293.05","-","1.54%"
"Apr 13, 2020","19,293.05","19,134.03","19,297.51","18,843.14","-","0.83%"
"Apr 09, 2020","19,134.03","18,790.20","19,324.90","18,790.20","-","1.83%"
"Apr 08, 2020","18,790.20","18,506.96","18,908.24","18,506.96","-","1.53%"
"Apr 07, 2020","18,506.96","18,645.87","18,985.66","18,501.78","-","-0.74%"
"Apr 06, 2020","18,645.87","18,298.05","18,942.63","18,298.05","-","1.90%"
"Apr 03, 2020","18,298.05","17,814.64","18,405.98","17,814.64","-","2.71%"
"Apr 02, 2020","17,814.64","17,173.55","18,039.16","17,173.55","-","3.73%"
"Apr 01, 2020","17,173.55","17,486.77","17,486.77","16,856.71","-","-1.79%"
"Mar 31, 2020","17,486.77","16,651.41","17,593.69","16,651.41","-","5.02%"
"Mar 30, 2020","16,651.41","16,224.74","16,823.80","16,224.74","-","2.63%"
"Mar 27, 2020","16,224.74","16,174.86","16,273.42","15,829.00","-","0.31%"
"Mar 26, 2020","16,174.86","15,738.52","16,809.72","15,504.81","-","2.77%"
"Mar 25, 2020","15,738.52","14,798.57","15,856.14","14,798.57","-","6.35%"
"Mar 24, 2020","14,798.57","14,784.91","15,651.18","14,780.97","-","0.09%"
"Mar 23, 2020","14,784.91","15,597.19","15,813.36","14,770.89","-","-5.21%"
"Mar 20, 2020","15,597.19","15,560.26","16,573.32","15,560.26","-","0.24%"
"Mar 19, 2020","15,560.26","14,685.25","15,969.16","14,685.25","-","5.96%"
"Mar 18, 2020","14,685.25","16,560.56","16,560.56","14,595.80","-","-11.32%"
"Mar 17, 2020","16,560.56","16,454.33","17,142.33","16,337.15","-","0.65%"
"Mar 16, 2020","16,454.33","18,896.25","18,902.66","16,393.06","-","-12.92%"
"Mar 13, 2020","18,896.25","18,725.03","19,429.76","18,548.68","-","0.91%"
"Mar 12, 2020","18,725.03","19,949.90","19,949.90","18,688.44","-","-6.14%"
"Mar 11, 2020","19,949.90","20,392.82","20,402.46","19,914.73","-","-2.17%"
"Mar 10, 2020","20,392.82","20,239.11","20,805.25","20,239.11","-","0.76%"
"Mar 09, 2020","20,239.11","21,165.59","21,165.59","20,238.18","-","-4.38%"
"Mar 06, 2020","21,165.59","21,607.34","21,607.34","21,160.41","-","-2.04%"
"Mar 05, 2020","21,607.34","21,807.93","21,807.93","21,501.74","-","-0.92%"
"Mar 04, 2020","21,807.93","21,485.01","21,828.76","21,485.01","-","1.50%"
"Mar 03, 2020","21,485.01","21,463.73","21,825.56","21,457.72","-","0.10%"
"Mar 02, 2020","21,463.73","20,748.06","21,470.30","20,742.89","-","3.45%"
"Feb 28, 2020","20,748.06","21,410.35","21,410.35","20,748.06","-","-3.09%"
"Feb 27, 2020","21,410.35","21,602.23","21,602.23","21,162.57","-","-0.89%"
"Feb 26, 2020","21,602.23","21,926.29","21,935.80","21,601.73","-","-1.48%"
"Feb 25, 2020","21,926.29","22,242.96","22,279.63","21,906.13","-","-1.42%"
"Feb 24, 2020","22,242.96","22,726.97","22,726.97","22,182.56","-","-2.13%"
"Feb 21, 2020","22,726.97","22,762.37","22,773.81","22,687.85","-","-0.16%"
"Feb 20, 2020","22,762.37","22,705.60","22,830.91","22,638.27","-","0.25%"
"Feb 19, 2020","22,705.60","22,830.34","22,935.69","22,596.74","-","-0.55%"
"Feb 18, 2020","22,830.34","23,239.64","23,241.67","22,825.11","-","-1.76%"
"Feb 17, 2020","23,239.64","23,345.11","23,350.96","23,187.62","-","-0.45%"
"Feb 14, 2020","23,345.11","23,360.48","23,406.09","23,226.68","-","-0.07%"
"Feb 13, 2020","23,360.48","23,402.04","23,402.04","23,209.11","-","-0.18%"
"Feb 12, 2020","23,402.04","23,356.34","23,475.16","23,337.28","-","0.20%"
"Feb 11, 2020","23,356.34","23,209.50","23,364.98","23,209.50","-","0.63%"
"Feb 10, 2020","23,209.50","23,469.59","23,475.29","23,169.87","-","-1.11%"
"Feb 07, 2020","23,469.59","23,524.83","23,551.32","23,342.25","-","-0.23%"
"Feb 06, 2020","23,524.83","23,405.74","23,560.80","23,405.74","-","0.51%"
"Feb 05, 2020","23,405.74","23,373.25","23,549.99","23,353.55","-","0.14%"
"Feb 04, 2020","23,373.25","22,971.18","23,434.95","22,971.18","-","1.75%"
"Feb 03, 2020","22,971.18","22,958.19","23,082.61","22,955.32","-","0.06%"
"Jan 31, 2020","22,958.19","22,861.92","23,022.08","22,811.06","-","0.42%"
"Jan 30, 2020","22,861.92","22,962.97","22,962.97","22,718.76","-","-0.44%"
"Jan 29, 2020","22,962.97","22,965.80","23,014.71","22,869.38","-","-0.01%"
"Jan 28, 2020","22,965.80","22,933.43","23,130.10","22,912.75","-","0.14%"
"Jan 27, 2020","22,933.43","23,310.20","23,316.35","22,807.74","-","-1.62%"
"Jan 24, 2020","23,310.20","23,355.92","23,542.34","23,281.25","-","-0.20%"
"Jan 23, 2020","23,355.92","23,454.72","23,479.52","23,191.35","-","-0.42%"
"Jan 22, 2020","23,454.72","23,580.72","23,693.76","23,435.30","-","-0.53%"
"Jan 21, 2020","23,580.72","24,113.09","24,113.09","23,570.62","-","-2.21%"
"Jan 20, 2020","24,113.09","24,392.02","24,449.98","24,083.35","-","-1.14%"
"Jan 17, 2020","24,392.02","24,425.92","24,505.38","24,320.81","-","-0.14%"
"Jan 16, 2020","24,425.92","24,387.90","24,433.64","24,316.16","-","0.16%"
"Jan 15, 2020","24,387.90","24,565.22","24,575.96","24,231.62","-","-0.72%"
"Jan 14, 2020","24,565.22","24,720.61","24,767.55","24,479.84","-","-0.63%"
"Jan 13, 2020","24,720.61","24,861.18","24,886.46","24,685.79","-","-0.57%"
"Jan 10, 2020","24,861.18","24,429.78","24,876.97","24,398.75","-","1.77%"
"Jan 09, 2020","24,429.78","24,490.55","24,511.02","24,281.38","-","-0.25%"
"Jan 08, 2020","24,490.56","24,499.85","24,535.27","24,347.67","-","-0.04%"
"Jan 07, 2020","24,499.85","24,342.37","24,543.25","24,295.61","-","0.65%"
"Jan 06, 2020","24,342.37","24,141.94","24,351.18","23,910.60","-","0.83%"
"Jan 03, 2020","24,141.94","23,985.35","24,143.02","23,725.49","-","0.65%"
"Jan 02, 2020","23,985.35","23,393.53","23,990.51","23,393.53","-","2.53%"
"Dec 30, 2019","23,393.53","23,376.72","23,469.96","23,308.36","-","0.07%"
"Dec 27, 2019","23,376.72","23,381.42","23,388.79","23,242.33","-","-0.02%"
"Dec 26, 2019","23,381.42","23,563.91","23,626.97","23,315.99","-","-0.77%"
"Dec 24, 2019","23,563.91","23,613.29","23,627.12","23,543.76","-","-0.21%"
"Dec 23, 2019","23,613.29","23,662.72","23,739.15","23,531.14","-","-0.21%"
"Dec 20, 2019","23,662.72","23,727.31","23,797.12","23,625.57","-","-0.27%"
"Dec 19, 2019","23,727.31","23,667.42","23,758.83","23,605.46","-","0.25%"
"Dec 18, 2019","23,667.42","24,026.43","24,058.27","23,530.63","-","-1.49%"
"Dec 17, 2019","24,026.43","24,316.37","24,324.51","23,938.33","-","-1.19%"
"Dec 16, 2019","24,316.37","24,350.41","24,455.74","24,301.29","-","-0.14%"
"Dec 13, 2019","24,350.41","24,006.09","24,451.33","24,006.09","-","1.43%"
"Dec 12, 2019","24,006.09","23,858.13","24,024.56","23,854.54","-","0.62%"
"Dec 11, 2019","23,858.13","23,729.39","23,971.59","23,729.39","-","0.54%"
"Dec 10, 2019","23,729.26","23,664.55","23,789.24","23,628.83","-","0.27%"
"Dec 09, 2019","23,664.56","23,560.12","23,689.77","23,514.16","-","0.44%"
"Dec 06, 2019","23,560.12","23,600.44","23,713.32","23,528.77","-","-0.17%"
"Dec 05, 2019","23,600.44","23,150.19","23,643.75","23,150.19","-","1.94%"
"Dec 04, 2019","23,150.19","22,471.98","23,150.19","22,469.96","-","3.02%"
"Dec 03, 2019","22,471.98","22,523.20","22,569.13","22,373.80","-","-0.23%"
"Dec 02, 2019","22,523.20","22,705.71","22,766.63","22,514.90","-","-0.80%"
"Nov 29, 2019","22,705.71","22,609.03","22,977.79","22,527.68","-","0.43%"
"Nov 28, 2019","22,609.03","22,978.36","22,997.08","22,487.15","-","-1.61%"
"Nov 27, 2019","22,978.36","22,845.21","23,070.34","22,822.14","-","0.58%"
"Nov 26, 2019","22,845.21","23,270.76","23,357.86","22,795.72","-","-1.83%"
"Nov 25, 2019","23,270.76","23,605.28","23,607.56","23,260.11","-","-1.42%"
"Nov 22, 2019","23,605.28","23,676.38","23,721.40","23,431.08","-","-0.30%"
"Nov 21, 2019","23,676.38","23,870.91","23,887.63","23,635.38","-","-0.81%"
"Nov 20, 2019","23,870.91","23,908.66","24,018.87","23,692.99","-","-0.16%"
"Nov 19, 2019","23,908.66","24,022.50","24,038.95","23,743.85","-","-0.47%"
"Nov 18, 2019","24,022.50","24,218.58","24,356.40","23,878.17","-","-0.81%"
"Nov 15, 2019","24,218.59","22,434.13","24,240.69","22,434.13","-","7.95%"
"Nov 14, 2019","22,434.13","22,059.41","22,464.90","22,055.47","-","1.70%"
"Nov 13, 2019","22,059.41","22,709.50","22,720.90","22,037.73","-","-2.86%"
"Nov 12, 2019","22,709.50","23,110.32","23,111.35","22,191.90","-","-1.73%"
